TIME,LONGITUDE,LATITUDE,RAINFALL,time,lon,lat,rf
1978-09-13,79.5,12.0,0.0,,,,
1978-09-14,79.5,12.0,0.0,,,,
1978-09-15,79.5,12.0,25.188478469848633,,,,
1978-09-16,79.5,12.0,0.0,,,,
1978-09-17,79.5,12.0,0.0,,,,
1978-09-18,79.5,12.0,0.0,,,,
1978-09-19,79.5,12.0,0.0,,,,
1978-09-20,79.5,12.0,41.29193878173828,,,,
1978-09-21,79.5,12.0,59.118526458740234,,,,
1978-09-22,79.5,12.0,61.59955978393555,,,,
1978-09-23,79.5,12.0,18.74491310119629,,,,
1978-09-24,79.5,12.0,1.6529786586761475,,,,
1978-09-25,79.5,12.0,7.777581691741943,,,,
1978-09-26,79.5,12.0,31.10810661315918,,,,
1978-09-27,79.5,12.0,0.0,,,,
1978-09-28,79.5,12.0,0.8144991993904114,,,,
1978-09-29,79.5,12.0,13.840649604797363,,,,
1978-09-30,79.5,12.0,10.424408912658691,,,,
1978-10-01,79.5,12.0,0.0,,,,
1978-10-02,79.5,12.0,0.0,,,,
1978-10-03,79.5,12.0,0.0,,,,
1978-10-04,79.5,12.0,0.0,,,,
1978-10-05,79.5,12.0,0.0,,,,
1978-10-06,79.5,12.0,0.0,,,,
1978-10-07,79.5,12.0,0.0,,,,
1978-10-08,79.5,12.0,0.0,,,,
1978-10-09,79.5,12.0,0.0,,,,
1978-10-10,79.5,12.0,0.0,,,,
1978-10-11,79.5,12.0,0.0,,,,
1978-10-12,79.5,12.0,0.0,,,,
1978-10-13,79.5,12.0,0.0,,,,
1978-10-14,79.5,12.0,2.6606922149658203,,,,
1978-10-15,79.5,12.0,8.059747695922852,,,,
1978-10-16,79.5,12.0,8.99642276763916,,,,
1978-10-17,79.5,12.0,0.0,,,,
1978-10-18,79.5,12.0,3.4265265464782715,,,,
1978-10-19,79.5,12.0,0.0,,,,
1978-10-20,79.5,12.0,2.043721914291382,,,,
1978-10-21,79.5,12.0,6.473226070404053,,,,
1978-10-22,79.5,12.0,0.0,,,,
1978-10-23,79.5,12.0,11.805218696594238,,,,
1978-10-24,79.5,12.0,7.777771472930908,,,,
1978-10-25,79.5,12.0,7.507777214050293,,,,
1978-10-26,79.5,12.0,1.7474908828735352,,,,
1978-10-27,79.5,12.0,2.7403252124786377,,,,
1978-10-28,79.5,12.0,5.455692768096924,,,,
1978-10-29,79.5,12.0,37.31917190551758,,,,
1978-10-30,79.5,12.0,12.291621208190918,,,,
1978-10-31,79.5,12.0,16.1653995513916,,,,
1978-11-01,79.5,12.0,28.668073654174805,,,,
1978-11-02,79.5,12.0,7.18096399307251,,,,
1978-11-03,79.5,12.0,0.0,,,,
1978-11-04,79.5,12.0,166.36575317382812,,,,
1978-11-05,79.5,12.0,19.19288444519043,,,,
1978-11-06,79.5,12.0,21.465984344482422,,,,
1978-11-07,79.5,12.0,0.39752453565597534,,,,
1978-11-08,79.5,12.0,59.785003662109375,,,,
1978-11-09,79.5,12.0,0.0,,,,
1978-11-10,79.5,12.0,0.0,,,,
1978-11-11,79.5,12.0,0.0,,,,
1978-11-12,79.5,12.0,0.0,,,,
1978-11-13,79.5,12.0,0.0,,,,
1978-11-14,79.5,12.0,0.12948402762413025,,,,
1978-11-15,79.5,12.0,1.707017183303833,,,,
1978-11-16,79.5,12.0,1.3957568407058716,,,,
1978-11-17,79.5,12.0,0.0,,,,
1978-11-18,79.5,12.0,0.0,,,,
1978-11-19,79.5,12.0,0.7982092499732971,,,,
1978-11-20,79.5,12.0,0.0,,,,
1978-11-21,79.5,12.0,0.0,,,,
1978-11-22,79.5,12.0,0.0,,,,
